latitude wgs84,longitude wgs84,site,water body,uom,quantity,quantity type,collection method,author,series id,url json,url csv
45.758606,11.006637,Ala,torrente Ala,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,28210,https://www.floods.it/api/v1/monitoring/28210.json,https://www.floods.it/api/v1/monitoring/28210.csv
45.758606,11.006637,Ala,torrente Ala,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,38559,https://www.floods.it/api/v1/monitoring/38559.json,https://www.floods.it/api/v1/monitoring/38559.csv
45.981509,11.250025,Aonè,torrente Centa,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,31071,https://www.floods.it/api/v1/monitoring/31071.json,https://www.floods.it/api/v1/monitoring/31071.csv
45.981667,11.25,Aonè,torrente Centa,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42430,https://www.floods.it/api/v1/monitoring/42430.json,https://www.floods.it/api/v1/monitoring/42430.csv
45.731747,10.937188,Avio,torrente Aviana,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,28206,https://www.floods.it/api/v1/monitoring/28206.json,https://www.floods.it/api/v1/monitoring/28206.csv
45.731604,10.937376,Avio,torrente Aviana,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,38557,https://www.floods.it/api/v1/monitoring/38557.json,https://www.floods.it/api/v1/monitoring/38557.csv
45.704143,10.92839,Borghetto,fiume Adige,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,30785,https://www.floods.it/api/v1/monitoring/30785.json,https://www.floods.it/api/v1/monitoring/30785.csv
46.054108,11.460014,Borgo Valsugana,fiume Brenta,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11805,https://www.floods.it/api/v1/monitoring/11805.json,https://www.floods.it/api/v1/monitoring/11805.csv
46.054072,11.460107,Borgo Valsugana,fiume Brenta,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18704,https://www.floods.it/api/v1/monitoring/18704.json,https://www.floods.it/api/v1/monitoring/18704.csv
46.004858,11.273958,Brenta Caldonazzo,brentella di Caldonazzo,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,57229,https://www.floods.it/api/v1/monitoring/57229.json,https://www.floods.it/api/v1/monitoring/57229.csv
46.474532,11.744702,Campitello Avisio,torrente Avisio,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,30415,https://www.floods.it/api/v1/monitoring/30415.json,https://www.floods.it/api/v1/monitoring/30415.csv
46.474532,11.744702,Campitello Avisio,torrente Avisio,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,38565,https://www.floods.it/api/v1/monitoring/38565.json,https://www.floods.it/api/v1/monitoring/38565.csv
46.476286,11.741348,Campitello Duron,torrente Duron,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,32184,https://www.floods.it/api/v1/monitoring/32184.json,https://www.floods.it/api/v1/monitoring/32184.csv
46.476389,11.741111,Campitello Duron,torrente Duron,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,50686,https://www.floods.it/api/v1/monitoring/50686.json,https://www.floods.it/api/v1/monitoring/50686.csv
46.076394,11.276851,Canezza,torrente Fersina,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11777,https://www.floods.it/api/v1/monitoring/11777.json,https://www.floods.it/api/v1/monitoring/11777.csv
46.076273,11.2764,Canezza,torrente Fersina,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18715,https://www.floods.it/api/v1/monitoring/18715.json,https://www.floods.it/api/v1/monitoring/18715.csv
46.197622,11.670279,Caoria Ponte Belfe,torrente Vanoi,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11770,https://www.floods.it/api/v1/monitoring/11770.json,https://www.floods.it/api/v1/monitoring/11770.csv
46.197498,11.670335,Caoria Ponte Belfe,torrente Vanoi,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18707,https://www.floods.it/api/v1/monitoring/18707.json,https://www.floods.it/api/v1/monitoring/18707.csv
46.196939,11.679002,Caoria Valsorda,rio Valsorda,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,30987,https://www.floods.it/api/v1/monitoring/30987.json,https://www.floods.it/api/v1/monitoring/30987.csv
46.197222,11.678889,Caoria Valsorda,rio Valsorda,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42431,https://www.floods.it/api/v1/monitoring/42431.json,https://www.floods.it/api/v1/monitoring/42431.csv
46.28497,11.479926,Cavalese Masi,torrente Avisio,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,11736,https://www.floods.it/api/v1/monitoring/11736.json,https://www.floods.it/api/v1/monitoring/11736.csv
46.284856,11.479977,Cavalese Masi,torrente Avisio,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,18713,https://www.floods.it/api/v1/monitoring/18713.json,https://www.floods.it/api/v1/monitoring/18713.csv
