id_sito,indirizzo,comune,comuni_serviti,descrizione,longitude,latitude,altezza_mslm,nome,recettore
AB,loc. Foian,022002,"['022002', '022108']",Impianto di depurazione,11.197343,46.147744,554,ALBIANO,rio Ischion
AD,via della Croce,022003,"['022003', '022058', '022091', '022222']",Impianto di depurazione,11.104233,45.974169,,ALDENO,fiume Adige
AL,Loc. Baitani - fraz. Sdruzzinà,022001,['022001'],Impianto di depurazione,10.986264,45.746114,140,ALA,fiume Adige
AN,Loc. Valle,022005,"['022005', '028001']",Impianto di depurazione,10.998473,46.162987,1013,ANDALO,rio Lambin
AR,Loc. Linfano,022006,"['022124', '022006', '022079']",Impianto di depurazione,10.879870,45.881405,70,ARCO,fiume Sarca
AV,Loc. La Russa,022007,['022007'],Impianto di depurazione,10.946159,45.731468,134,AVIO,fiume Adige
BA,loc. Canveta,022169,"['022155', '022169']",Impianto di depurazione,11.062274,46.370424,,BANCO,fiume Noce
BE,"via I maggio, 1",022013,['022013'],Impianto di depurazione,11.102679,45.938177,,BESENELLO,fossa Campigrandi
BS,Loc. Tressilla,022009,['022009'],Impianto di depurazione,11.232340,46.128110,892,BASELGA DI PINE`,rio Silla
CA,Loc. Dofolon,022031,"['022101', '022031', '022053']",Impianto di depurazione,10.983517,46.050540,330,CALAVINO,roggia di Calavino
CB,Loc. Ghiaie,022038,"['022038', '022048']",Impianto di depurazione,11.727366,46.152904,640,CANAL SAN BOVO,torrente Vanoi
CH,Loc. Villetta - fr. Chizzola,022001,"['022001', '022025']",Impianto di depurazione,11.013365,45.802119,,CHIZZOLA,fiume Adige
CL,Loc. Planeza,022062,['022062'],Impianto di depurazione,11.049993,46.350882,600,CLES,rio Ribosc
CM,Loc. Piani,022036,"['022036', '022039']",Impianto di depurazione,11.737840,46.472744,1403,CAMPITELLO,torrente Avisio
CN,Loc. Ischie di Dercolo,022037,"['022037', '022074', '022194', '022086', '022069', '022181', '022180', '022200']",Impianto di depurazione,11.057782,46.250134,262,CAMPODENNO,torrente Noce
CR,Loc.Lange Bise fraz.Carbonare,022087,['022087'],Impianto di depurazione,11.223124,45.939974,1022,CARBONARE,rio del Molino
CS,Loc. Medoina,022047,"['022050', '022047', '022070', '022041', '022211']",Impianto di depurazione,11.445222,46.280722,843,CASTELLO DI FIEMME,rio Primavalle
CT,Loc. San Rocco,022048,['022048'],Impianto di depurazione,11.629311,46.059905,795,CASTELLO TESINO,torrente Grigno
CV,Loc. Sottovia,022004,"['022051', '022159', '022155', '022170', '022162', '022004', '022076']",Impianto di depurazione,11.131940,46.399973,915,CAVARENO,rio Moscabio
DI,Loc. Ischie,022075,"['022075', '022064']",Impianto di depurazione,10.880671,46.328972,,DIMARO,torrente Noce
DP,Loc. Le Fratte fr.Pietramurata,022079,"['022079', '022031', '022101', '022053']",Impianto di depurazione,10.952425,46.012835,242,DRO PIETRAMURATA,canaletta ENEL
DR,Loc. Quadri,022078,"['022078', '022053']",Impianto di depurazione,10.941181,45.969064,340,DRENA,rio Sallagoni
DS,Loc. Paludi fraz. Andogno,022077,"['022077', '022166', '022182']",Impianto di depurazione,10.893974,46.069851,503,DORSINO,torrente Ambiez
FA,Loc. La Cornella,022081,['022081'],Impianto di depurazione,11.076327,46.179611,934,FAI DELLA PAGANELLA,rio della Valle
FL,loc. Carpeneda,022087,"['022087', '022193']",Impianto di depurazione,11.153076,45.912869,977,FOLGARIA,rio Cavallo
FO,Loc. Coste,022088,"['022088', '022111']",Impianto di depurazione,11.130931,46.435905,870,FONDO,torrente Sass
FV,Loc. Pizzaga,022082,"['022055', '022082', '022011']",Impianto di depurazione,11.241267,46.175362,447,FAVER,torrente Avisio
GI,Loc. Martelac,022093,"['022143', '022042', '022112', '022093']",Impianto di depurazione,10.763319,46.151921,748,GIUSTINO,fiume Sarca
GR,Loc. Pianello,022095,['022095'],Impianto di depurazione,11.684346,45.969467,220,GRIGNO,fiume Brenta
IM,Loc. Masi,022097,"['022174', '022201', '022084', '022204', '022115', '022097']",Impianto di depurazione,11.787429,46.142719,598,IMER,torrente Cismon
LR,Loc. Pozze,022102,['022102'],Impianto di depurazione,11.263942,45.933483,1098,LAVARONE,rio Malo
LS,Loc. Formiche,022103,"['022092', '022103', '022105', '022126', '022225']",Impianto di depurazione,11.081230,46.130954,200,LAVIS,fiume Adige
LV,Loc. Someari,022104,"['022104', '022139', '022023', '022034', '022212', '022219', '022032', '022190', '022056', '022168', '022085', '022090', '022216', '022133']",Impianto di depurazione,11.318321,46.002890,435,LEVICO,fiume Brenta
MA,Loc. Pramagnan,022143,"['022143', '022151']",Impianto di depurazione,10.824788,46.216313,1430,MADONNA DI CAMPIGLIO,rio Colarin
MC,Loc. Ischie,022116,"['022116', '022117', '022167', '022080', '022160']",Impianto di depurazione,11.136307,46.205138,205,MEZZOCORONA,fossa di Caldaro
